episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
52,40.390860389929344,30.682808979732016,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2993
53,39.090575108761094,31.00416749660474,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2974
54,21.933014282520798,30.648675785991358,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2955
55,41.80035509013087,30.66650710266627,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2936
56,21.62290729255611,30.292601417361126,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2917
57,41.38886684304447,30.68184221297383,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.28980000000000006
58,40.90047858974646,31.037715685441185,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.28790000000000004
59,23.251889462739282,30.693183954628662,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.28600000000000003
60,21.951504832105144,30.331188487854725,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2841
61,40.36938493449041,30.683198802569432,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2822
62,21.513333252516766,30.297555677153902,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2803
63,23.914248791873593,29.971703034996207,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.27840000000000004
64,22.085913502339956,29.97827304039241,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2765
65,22.711411378818823,29.638583591647507,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2746
66,23.597112070216514,29.652544877298237,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.27270000000000005
67,39.834215379198234,29.673029975238435,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.27080000000000004
68,24.413349498157555,29.684838945481825,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.26890000000000003
69,39.9074353903631,29.657417435073427,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.267
70,41.17553902818142,30.035145883937552,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2651
71,40.26902464687599,30.396894582812035,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2632
72,40.199706767249,30.384776945783663,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.26130000000000003
73,23.02223912345303,30.441267877627524,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2594
74,40.62120280071473,30.469866256572473,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2575
75,22.677644670414224,30.099418991709108,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.25560000000000005
76,23.76678177267918,30.11916125216313,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.25370000000000004
77,41.644244069718916,30.490023606897235,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2518
78,41.701338213431974,30.859413027850454,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2499
79,23.669064272644032,30.866011569814706,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.248
80,40.54185219985127,30.850611764907477,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2461
81,40.53696253130834,30.84572836242132,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.24420000000000003
82,23.37129695408859,30.858116117651278,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.24230000000000002
83,40.32635734424245,30.81960910334094,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.24040000000000003
84,21.886247877385692,30.460841941091623,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.23850000000000002
85,21.56089718010015,30.075788465676304,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.23660000000000003
86,40.732151122729405,30.47282456436075,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.23470000000000002
87,21.296646868078362,30.49354240855769,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2328
88,21.665826407384987,30.481792591913415,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.23090000000000002
89,41.305094207487706,30.877264656503794,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.229
90,40.57830764603981,30.87933555731236,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.22710000000000002
91,41.22206616708312,31.27029862081974,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2252
92,40.78568596640293,31.65717543973609,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.2233
93,40.22782139129723,32.004159878773926,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.22140000000000004
94,40.80090225735808,32.008125772244895,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21950000000000003
95,23.210169100521025,31.996789848273043,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21760000000000002
96,22.17325331033185,31.983208860766098,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21570000000000003
97,20.84626918478997,31.570966201216105,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21380000000000002
98,21.30050101317972,31.543872587551938,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21190000000000003
99,39.61412525139895,31.91426247502809,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.21000000000000002
