episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
53,-81.27061317395061,-38.09067093912273,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
54,25.096858308502576,-38.180130477451854,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
55,-57.94500536495727,-38.90174923511343,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
56,-39.06146780618044,-39.93035180049335,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
57,39.32300714796494,-33.785373177861636,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
58,1.7480800079401775,-34.20188476342915,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
59,-40.5895774658232,-34.19640552461152,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
60,-10.190056374926316,-33.53467006987829,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
61,-21.869042762450764,-34.653491161810344,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
62,14.552983400210087,-35.000928441785184,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
63,10.569624862488482,-29.248028881509985,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
64,-30.584548993532376,-25.85394684614106,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
65,-49.017005318292526,-27.422103740913375,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
66,-6.188226675648043,-26.99169902035727,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
67,36.080507149934704,-26.72285690197412,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
68,27.506552653037065,-25.075591900899884,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
69,32.51953345110421,-23.028264263223072,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
70,17.382300840302488,-23.170853892787164,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
71,-31.116968776872632,-18.257785268764327,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
72,15.715419324010057,-16.796120699158728,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
73,-33.5906523574168,-18.234676764144318,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
74,13.736613003897856,-18.749196566610625,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
75,-7.34538208570032,-19.604456352734125,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
76,17.393795385094794,-19.981613634239114,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
77,2.7414237687456704,-19.193592360558345,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
78,-47.78025587669605,-20.56806590258832,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
79,35.35623755408031,-19.033466478772024,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
80,-220.6389157671263,-18.982228541027364,51,306,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
81,-19.497474205641147,-18.205672339542893,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
82,1.37645279207858,-17.09647520914223,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
83,37.441596405769495,-16.666817195124114,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
84,25.964588576022212,-14.69714684166115,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
85,22.23165592700127,-14.720195467589173,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
86,-8.797239389965585,-15.118742425569039,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
87,-18.348113041474154,-14.676696301637307,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
88,-48.77120517180404,-15.512195263104518,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
89,-26.081877077114402,-15.681727594995078,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
90,18.750163181494525,-15.640766269434167,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
91,24.15685277551161,-15.606708332279146,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
92,8.882965952544355,-14.550565562853436,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
93,-35.80085761537639,-14.759458501997296,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
