episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
53,-201.0017459754588,-203.21345222924006,29,174,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
54,-208.81309894627006,-203.3431771105786,155,930,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
55,-196.36944319178875,-203.15526723856874,83,498,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
56,-204.41654046007588,-203.28762650329466,54,324,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
57,-196.38247620616346,-203.08073186594913,195,1170,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
58,-199.62767314157816,-203.01592637478734,26,156,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
59,-196.39469514672004,-202.76449183553552,61,366,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
60,4.048856494078769,-198.60168625336456,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
61,-200.55636749547187,-198.48452359211743,37,222,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
62,-0.4701506729427859,-194.1992431070401,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
63,-201.1599428419685,-193.90048314369756,65,390,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
64,-200.99805582224965,-193.88088046509506,66,396,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
65,-203.13269225423366,-193.990197168639,62,372,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
66,-195.9462108120199,-193.9209963243086,44,264,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
67,-208.190288321315,-194.0139216697873,40,240,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
68,-204.56658530802378,-194.06498512997933,52,312,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
69,-195.2200364985196,-193.93912665341836,114,684,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
70,5.69504194101746,-189.66225168514086,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
71,-194.92462804348494,-189.50199258884533,140,840,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
72,-202.00527704134458,-189.38579308301556,88,528,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
73,-208.70466718122478,-189.3589546448994,65,390,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
74,-202.80814466116,-189.44170425675583,106,636,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
75,-210.72988763662315,-189.69225651672497,74,444,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
76,-209.22927636877134,-189.882566981981,106,636,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
77,-212.18908791775394,-190.22262497824656,32,192,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
78,-198.37203725339901,-190.14726662453708,187,1122,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
79,-7.584366379959616,-186.27769971007,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
80,-200.16566844898657,-186.1837749726224,48,288,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
81,-202.3625139188808,-186.1966966479688,40,240,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
82,3.877916337672492,-182.16134801319916,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
83,-194.77873937984904,-181.8884466789967,122,732,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
84,-202.35276908141012,-182.07304157612924,27,162,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
85,-201.30307485781427,-182.07133228646128,11,66,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
86,-199.30841600198443,-182.14205671876192,30,180,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
87,-5.410894366091114,-178.32453050199092,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
88,10.181817840671131,-173.98641220281425,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
89,-200.03635088242035,-173.9736216871168,40,240,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
90,11.487190457912472,-169.67114025806603,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
91,-200.5989913507259,-169.47355674808495,52,312,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
92,-199.55378938826516,-169.49253268093958,13,78,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
93,-200.7211045445421,-169.54433886148905,55,330,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
94,-198.5955290786531,-169.28729851000548,101,606,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
95,-199.16943516933566,-169.09006807108494,93,558,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
96,-196.33270694301098,-168.93430922438571,133,798,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
97,1.4892416165511049,-164.8892734137991,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
98,-204.9535886239655,-165.10832182484836,50,300,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
99,-6.7215837444445174,-161.23568332588923,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
100,-194.52529792570402,-160.98088049169777,88,528,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
101,-195.58309948278566,-160.84628303584682,67,402,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
102,-196.83791851014652,-160.44649565179267,54,324,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
103,1.3962416439264218,-156.39853589940495,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
104,-197.98574032956847,-156.18198872707094,61,366,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
105,-199.22022050516318,-156.23900427333842,18,108,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
106,-189.59906490813842,-155.94265476229967,156,936,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
107,-197.87043774758897,-155.97241399312819,24,144,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
108,7.282348796398511,-151.83421355436866,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
109,-190.76256956418663,-151.72157104271798,179,1074,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
110,-200.14264210129215,-155.80540101462537,52,312,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
111,-5.792173354505559,-151.91011713180606,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
112,-205.43135215124988,-156.00934116137222,26,156,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
113,-198.02722623397904,-155.9466868292124,28,168,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
114,11.715764412784916,-151.6924104245117,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
115,-200.2200366905708,-151.63415731323846,170,1020,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
116,-200.99901402261196,-151.73521337745032,97,582,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
117,10.011932276612123,-147.37116896549176,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
118,16.41835733570943,-142.95147011261707,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
119,-202.3455155693656,-143.09397969403403,79,474,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
120,6.122854884372715,-143.08542343516692,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
121,-200.11018020544685,-143.18913447840615,56,336,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
122,-195.2457453930891,-143.05394384544104,80,480,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
123,2.5879065599750253,-138.82809237061704,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
124,-9.589749222854177,-134.96372446185092,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
125,-3.5248810530318693,-130.81962433017912,250,1500,timeout,0,1,0,0,0,1,0,1.0,0.0,0.0,0.02
126,-211.47107050424586,-130.86446021288862,173,1038,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
127,-201.5083113571613,-130.65084468167674,46,276,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
128,-194.00742361978635,-130.56355240900447,92,552,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
129,-199.218817463628,-134.39624143067786,29,174,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
130,-194.0990278855126,-134.2749086194084,75,450,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
131,-201.70736674692373,-134.26180567596924,76,456,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
132,-198.7017009264758,-138.31339802125223,26,156,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
133,-198.33568286749556,-138.38453689100513,26,156,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
134,-200.1682338919956,-138.34084618721687,66,396,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
135,-201.08004852174278,-138.3363856604954,23,138,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
136,-202.14409114870995,-138.39309916342995,84,504,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
137,-201.5124768402754,-142.31513081291362,30,180,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
138,-199.3169531475659,-146.50510623267837,34,204,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
139,-202.09462522588134,-146.54627171954758,52,312,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
140,-188.1507882287795,-150.53903129328143,98,588,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
141,-202.97934890159962,-150.58663844429887,62,372,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
142,-209.06599445065427,-150.77688254554664,87,522,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
143,-203.82338557981188,-150.83892816625203,37,222,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
144,-200.85353077348083,-150.88408820014857,91,546,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
145,-202.98184229387365,-150.96033634263932,14,84,offroad,1,0,0,0,1,0,0,1.0,0.0,0.0,0.02
