episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
45,67.79767027611543,39.82323017809474,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02425
46,64.72630349599376,40.35308280187983,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.024125
47,13.901835708161894,39.802015154094036,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.024
48,65.91033244096667,40.334837955866945,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023875
49,18.009629349555436,39.88833378374071,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02375
50,16.252983108121118,39.95144069186729,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023625
51,17.028481259298072,38.97245706093088,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0235
52,16.745114428288534,38.92536414893624,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023375
53,65.40663642853475,39.87746353725096,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02325
54,13.498880362978326,38.792853427080246,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023125
55,66.71444418837787,39.76351240130776,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.023
56,69.07191745996148,39.82738751197575,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022875
57,17.857115205991942,38.84819633196567,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02275
58,47.93167041242622,39.44477829692482,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022625
59,17.67932969178682,39.43981122962335,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0225
60,66.75376222732402,40.512240894297776,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022375
61,64.16564303408897,40.44264292257494,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02225
62,18.53820445573565,39.49312819333806,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022125
63,2.0799205426279346,39.26371173202942,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.022
64,17.743140146289967,39.21915403272321,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021875
65,14.955176317823918,38.20108023384681,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02175
66,17.01686908424803,38.19488589525608,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021625
67,51.466093798386616,38.973475052074875,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0215
68,16.518153377374237,38.92525116392795,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021374999999999998
69,65.84841378010104,39.87402543418199,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021249999999999998
70,65.88665325488446,40.82794426776261,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.021124999999999998
71,7.292480007683915,39.70321688131672,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020999999999999998
72,66.62206521936443,40.649387730468554,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020874999999999998
73,18.470418293603647,39.996506575516484,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020749999999999998
74,68.09439863789444,40.01703033487468,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020624999999999998
75,17.000566806134515,39.332318303559084,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020499999999999997
76,20.536031492002902,38.381656076933425,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020374999999999997
77,67.21945629206083,39.36876671694502,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020249999999999997
78,51.358565667179285,39.03211038362806,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.020124999999999997
79,13.150961531154017,38.948298620765534,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.02
80,19.183128644561794,38.968903705202585,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019874999999999997
81,18.088257076306498,38.01586323608008,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019749999999999997
82,51.35802040744746,37.700159238592,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019625
83,51.18082740564566,38.403149487559105,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.0195
84,18.063919964249372,37.410438514070194,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.019374999999999996
