episode,return,return_moving_average,steps,physics_steps,termination_reason,terminated,truncated,duck_collision,other_collision,offroad,timeout,goal,stop_compliance,teacher_probability,teacher_step_ratio,epsilon
0,13.097637701792236,13.097637701792236,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19920833333333335
1,65.97766280611893,39.53765025395558,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19841666666666669
2,19.099760028020857,32.72502017864401,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19762500000000002
3,17.801667012798607,28.994181887182656,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19683333333333333
4,67.72938587151346,36.74122268404882,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19604166666666667
5,18.18149547700265,33.64793481620779,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19525
6,65.87816192656206,38.25225297482983,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19445833333333334
7,66.81667420649565,41.82280562878805,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19366666666666668
8,18.10257216446877,39.187224132752576,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19287500000000002
9,17.927683056860076,37.061270025163324,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19208333333333336
10,13.13227899360241,34.885907204112335,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.19129166666666667
11,67.6455416202314,37.61587673878893,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1905
12,66.01394091757996,39.80034321408054,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18970833333333334
13,13.55074360805957,37.92537181365047,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18891666666666668
14,19.97102511160077,36.72841536684715,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18812500000000001
15,65.858866261644,38.54906854777196,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18733333333333335
16,17.326586013785345,37.30068722224333,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1865416666666667
17,12.536635957446277,35.92490659642127,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18575000000000003
18,18.92934778472055,35.030403501068605,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18495833333333334
19,18.409700267399423,34.199368339385146,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18416666666666667
20,18.19071157585341,33.43705135064554,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.183375
21,63.528849329978236,34.80486034970612,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18258333333333335
22,19.313522761772624,34.13132393283944,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18179166666666668
23,51.11447604120732,34.83895527068811,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.181
24,67.06821066998505,36.12812548665999,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.18020833333333333
25,51.2361683719139,36.70920405916975,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17941666666666667
26,68.0691428232861,37.87068327265555,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.178625
27,17.863924291481172,37.156156166185035,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17783333333333334
28,68.19138233302743,38.22633637883477,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17704166666666668
29,17.341549674279857,37.53017682201627,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17625000000000002
30,18.152874422709196,36.90510255107088,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17545833333333333
31,65.7402805324322,37.806201862988424,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1746666666666667
32,67.14322028185093,38.695202421135775,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.173875
33,16.031314957290355,38.028617495728554,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17308333333333334
34,67.69946863869528,38.876356099813314,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17229166666666668
35,65.40610994795394,39.61329370670611,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1715
36,18.520154895714384,39.043208873976596,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.17070833333333335
37,69.05097696881633,39.832886981735534,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1699166666666667
38,12.129514073939047,39.12254408666383,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.169125
39,11.346555493135263,38.42814437182561,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16833333333333333
40,68.09325264191132,39.15168359792526,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16754166666666667
41,18.815888749636315,38.66749800629933,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16675
42,7.724630248158947,37.94789643052863,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16595833333333335
43,67.55697336121614,38.62082999713516,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16516666666666668
44,64.75439804229575,39.20157595369428,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.164375
45,67.79767027611543,39.82323017809474,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16358333333333336
46,64.72630349599376,40.35308280187983,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16279166666666667
47,13.901835708161894,39.802015154094036,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.162
48,65.91033244096667,40.334837955866945,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16120833333333334
49,18.009629349555436,39.88833378374071,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.16041666666666668
50,16.252983108121118,39.95144069186729,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15962500000000002
51,17.028481259298072,38.97245706093088,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15883333333333333
52,16.745114428288534,38.92536414893624,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1580416666666667
53,65.40663642853475,39.87746353725096,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15725
54,13.498880362978326,38.792853427080246,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15645833333333334
55,66.71444418837787,39.76351240130776,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15566666666666668
56,69.07191745996148,39.82738751197575,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.154875
57,17.857115205991942,38.84819633196567,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15408333333333335
58,47.93167041242622,39.44477829692482,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.1532916666666667
59,17.67932969178682,39.43981122962335,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15250000000000002
60,66.75376222732402,40.512240894297776,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15170833333333333
61,64.16564303408897,40.44264292257494,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.15091666666666667
62,18.53820445573565,39.49312819333806,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.150125
63,2.0799205426279346,39.26371173202942,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14933333333333335
64,17.743140146289967,39.21915403272321,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14854166666666668
65,14.955176317823918,38.20108023384681,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14775
66,17.01686908424803,38.19488589525608,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14695833333333336
67,51.466093798386616,38.973475052074875,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14616666666666667
68,16.518153377374237,38.92525116392795,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14537500000000003
69,65.84841378010104,39.87402543418199,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14458333333333334
70,65.88665325488446,40.82794426776261,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14379166666666668
71,7.292480007683915,39.70321688131672,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14300000000000002
72,66.62206521936443,40.649387730468554,250,1500,timeout,0,1,0,0,0,1,0,1.0,1.0,1.0,0.14220833333333335
